symbol,strategy,date,year,passed,reject,rank,risk_pct,avg_turnover_20,turnover_drift,cb_purity,cb_count,cluster_fraction,single_tower,ema_sep,contained,upper_half,base_ret,base_bars,base_exit,base_risk,base_r,auth_ret,auth_bars,auth_exit,auth_risk,auth_r
BALRAMCHIN,S3,2026-06-09,2026,False,separation,1.2534421009659782,0.02992364279728093,45.84940738725,-0.1425507596582537,0.14285714285714285,1,0.18181818181818182,False,0.0056965083718254345,True,True,21.000000000000014,37,target,7.000000000000008,2.9999999999999987,-0.9225608051439629,7,ema10,2.920044730220838,-0.3159406414552393
BALRAMCHIN,S3,2026-06-10,2026,False,separation,1.2678608748153661,0.02920044730220838,43.950276678,-0.1973426695181829,0.14285714285714285,1,0.18181818181818182,False,0.005339375088655936,True,True,21.000000000000007,36,target,7.0000000000000036,3.0,-3.0899644517363836,6,ema10,5.043751709051118,-0.6126321496340468
BALRAMCHIN,S3,2026-06-12,2026,False,liquidity,1.425640435205673,0.01227891471432539,37.66953550175,-0.38947910007251507,0.14285714285714285,1,0.18181818181818182,False,0.006533831657871853,True,True,21.000000000000043,45,target,7.000000000000014,3.0,-3.3139956490210247,4,stop,3.3139956490210247,-1.0
BALRAMCHIN,S3,2026-06-19,2026,False,liquidity,1.541549699120011,0.012299661399548531,34.700992333749994,-0.36658527429617715,0.3333333333333333,2,0.45454545454545453,False,0.007065232376654474,False,True,21.000000000000004,29,target,7.000000000000002,3.0,-0.6895266492732101,1,ema10,2.150298173686172,-0.3206655977813447
BALRAMCHIN,S3,2026-06-22,2026,False,liquidity,1.5237871452131457,0.02150298173686172,34.30896540825,-0.326875554859263,0.3333333333333333,2,0.45454545454545453,False,0.005195276118034484,False,True,21.000000000000043,28,target,7.000000000000011,3.0000000000000013,0.7318446237567982,1,ema10,1.4709138675173492,0.4975441729922817
BALRAMCHIN,S3,2026-06-23,2026,False,liquidity,1.5739548995964712,0.014709138675173492,34.52152322775,-0.2952601019319976,0.3333333333333333,2,0.45454545454545453,False,0.003194831496780975,False,True,21.000000000000014,27,target,7.000000000000004,3.0,-0.4843517138598936,1,ema10,2.186754843517126,-0.22149337649613873
BALRAMCHIN,S3,2026-06-24,2026,False,liquidity,1.5567089157737992,0.02186754843517126,34.578520233750005,-0.28015433895610553,0.3333333333333333,2,0.45454545454545453,False,0.002249130386580367,False,True,21.000000000000043,26,target,7.000000000000011,3.0000000000000013,-1.7106888805690792,1,stop,1.7106888805690792,-1.0
BALRAMCHIN,S3,2026-06-25,2026,False,liquidity,1.5898908546235986,0.017106888805690793,33.98521522875,-0.2831628639620033,0.3333333333333333,2,0.45454545454545453,False,0.0011133427233587638,False,True,21.00000000000003,16,target,7.000000000000009,3.0,13.12843862644658,23,ema10,7.000000000000009,1.8754912323495092
BALRAMCHIN,S3,2026-06-29,2026,False,liquidity,1.5815702422653408,0.012739518118004233,32.56363337925,-0.3039740646697773,0.3333333333333333,2,0.45454545454545453,False,0.0009177423309250435,False,True,20.999999999999993,37,target,6.999999999999998,3.0,7.451121722677702,22,ema10,6.228489053067853,1.196296832055543
BALRAMCHIN,S3,2026-07-01,2026,False,liquidity,1.2965112365784168,0.04647732478240955,33.8064955935,-0.12661080676673042,0.3333333333333333,2,0.45454545454545453,False,0.002787821656797591,False,True,21.000000000000032,35,target,7.000000000000011,3.0,5.130465444287713,20,ema10,8.253702397743309,0.6215956424222979
