date,equity,positions,cash
2025-07-11,949767.8705037697,0,949767.8705037697
2025-07-14,949767.8705037697,0,949767.8705037697
2025-07-15,960743.5070306447,2,462489.9070306447
2025-07-16,961972.8868339447,3,293543.4868339447
2025-07-17,955124.6729269995,3,290000.2729269996
2025-07-18,954443.6981409221,4,3170.9481409221326
2025-07-21,973635.3178653425,4,67189.51786534244
2025-07-22,968823.9178653426,4,67189.51786534244
2025-07-23,974806.6018553424,3,351919.1018553424
2025-07-24,981122.7082570725,4,92204.90825707244
2025-07-25,969793.7277972975,2,511495.1777972975
2025-07-28,993897.641424604,2,602860.891424604
2025-07-29,1001929.841424604,2,602860.891424604
2025-07-30,1016726.2414246041,2,602860.891424604
2025-07-31,1014972.541424604,2,602860.891424604
2025-08-01,1006070.7094610378,1,812304.3094610377
2025-08-04,1013225.9094610377,1,812304.3094610377
2025-08-05,1012214.7094610378,1,812304.3094610377
2025-08-06,1013033.9094610377,1,812304.3094610377
2025-08-07,1009974.7094610378,1,812304.3094610377
2025-08-08,1006262.7094610378,1,812304.3094610377
2025-08-11,1010729.9094610377,1,812304.3094610377
2025-08-12,993764.5099730378,0,993764.5099730378
2025-08-13,993764.5099730378,0,993764.5099730378
2025-08-14,993764.5099730378,0,993764.5099730378
2025-08-18,993764.5099730378,0,993764.5099730378
2025-08-19,993764.5099730378,0,993764.5099730378
2025-08-20,993764.5099730378,0,993764.5099730378
2025-08-21,993764.5099730378,0,993764.5099730378
2025-08-22,988089.2695102778,0,988089.2695102778
2025-08-25,983907.9978790103,0,983907.9978790103
2025-08-26,983907.9978790103,0,983907.9978790103
2025-08-28,983907.9978790103,0,983907.9978790103
2025-08-29,983907.9978790103,0,983907.9978790103
2025-09-01,983907.9978790103,0,983907.9978790103
2025-09-02,983907.9978790103,0,983907.9978790103
2025-09-03,983907.9978790103,0,983907.9978790103
2025-09-04,983907.9978790103,0,983907.9978790103
2025-09-05,983907.9978790103,0,983907.9978790103
2025-09-08,978324.1272431604,0,978324.1272431604
2025-09-09,978324.1272431604,0,978324.1272431604
2025-09-10,978324.1272431604,0,978324.1272431604
2025-09-11,978324.1272431604,0,978324.1272431604
2025-09-12,972997.7593970754,0,972997.7593970754
2025-09-15,980410.6950233231,2,419289.67502332304
2025-09-16,980792.155023323,2,419289.67502332304
2025-09-17,975488.493870997,3,289021.5138709969
2025-09-18,970969.4609445406,4,60577.32094454064
2025-09-19,961193.4668667773,3,283792.4668667772
2025-09-22,953133.6768128122,2,567213.8768128123
2025-09-23,947878.0672167862,3,411123.24721678614
2025-09-24,941004.5881144437,1,828282.1381144437
2025-09-25,938889.5881144437,1,828282.1381144437
2025-09-26,939552.2881144438,1,828282.1381144437
2025-09-29,933435.4091274687,0,933435.4091274687
2025-09-30,933435.4091274687,0,933435.4091274687
2025-10-01,933435.4091274687,0,933435.4091274687
2025-10-03,933435.4091274687,0,933435.4091274687
2025-10-06,933435.4091274687,0,933435.4091274687
2025-10-07,933435.4091274687,0,933435.4091274687
2025-10-08,933435.4091274687,0,933435.4091274687
2025-10-09,933435.4091274687,0,933435.4091274687
2025-10-10,934284.9447224598,2,385180.6447224597
2025-10-13,938818.7439892972,1,663315.6239892972
2025-10-14,934251.332012296,1,657909.732012296
2025-10-15,935473.9732961177,1,696688.8132961178
2025-10-16,935261.7332961179,1,696688.8132961178
2025-10-17,947478.5662949735,1,740335.5262949736
2025-10-20,958052.3897330987,3,304291.98973309866
2025-10-21,955785.6368100205,2,466113.1968100206
2025-10-23,941239.5255883206,2,448731.92558832053
2025-10-24,954334.0478396248,2,537723.6878396248
2025-10-27,964900.7863755709,2,469232.8763755709
2025-10-28,966325.5291268885,4,905.7491268884914
2025-10-29,989403.7281882091,5,23439.32818820924
2025-10-30,981658.366682963,4,134478.57668296288
2025-10-31,974467.7959047804,3,352044.02590478037
2025-11-03,977287.7059047804,3,352044.02590478037
2025-11-04,973536.96542214,2,556517.2654221399
2025-11-06,962844.5829951625,1,752312.0829951625
2025-11-07,963755.8329951625,1,752312.0829951625
2025-11-10,963924.5829951625,1,752312.0829951625
2025-11-11,966793.3329951625,1,752312.0829951625
2025-11-12,960778.9144991313,0,960778.9144991313
2025-11-13,960778.9144991313,0,960778.9144991313
2025-11-14,960778.9144991313,0,960778.9144991313
2025-11-17,960778.9144991313,0,960778.9144991313
2025-11-18,955400.2526578562,0,955400.2526578562
2025-11-19,955400.2526578562,0,955400.2526578562
2025-11-20,955400.2526578562,0,955400.2526578562
2025-11-21,955400.2526578562,0,955400.2526578562
2025-11-24,955400.2526578562,0,955400.2526578562
2025-11-25,955400.2526578562,0,955400.2526578562
2025-11-26,955400.2526578562,0,955400.2526578562
2025-11-27,955400.2526578562,0,955400.2526578562
2025-11-28,955400.2526578562,0,955400.2526578562
2025-12-01,955400.2526578562,0,955400.2526578562
2025-12-02,955400.2526578562,0,955400.2526578562
2025-12-03,955400.2526578562,0,955400.2526578562
2025-12-04,955400.2526578562,0,955400.2526578562
2025-12-05,955400.2526578562,0,955400.2526578562
2025-12-08,955400.2526578562,0,955400.2526578562
2025-12-09,955400.2526578562,0,955400.2526578562
2025-12-10,955400.2526578562,0,955400.2526578562
2025-12-11,955400.2526578562,0,955400.2526578562
2025-12-12,955400.2526578562,0,955400.2526578562
2025-12-15,955400.2526578562,0,955400.2526578562
2025-12-16,955400.2526578562,0,955400.2526578562
2025-12-17,955400.2526578562,0,955400.2526578562
2025-12-18,955400.2526578562,0,955400.2526578562
2025-12-19,955400.2526578562,0,955400.2526578562
2025-12-22,955400.2526578562,0,955400.2526578562
2025-12-23,955400.2526578562,0,955400.2526578562
2025-12-24,955400.2526578562,0,955400.2526578562
2025-12-26,955400.2526578562,0,955400.2526578562
2025-12-29,955400.2526578562,0,955400.2526578562
2025-12-30,955400.2526578562,0,955400.2526578562
2025-12-31,955400.2526578562,0,955400.2526578562
2026-01-01,955905.4372480563,1,704883.4372480563
2026-01-02,959702.4273735413,2,417898.3273735413
2026-01-05,961653.7728039839,3,129763.42280398385
2026-01-06,958942.1510897963,2,413921.4510897963
2026-01-07,944351.2015258039,0,944351.2015258039
2026-01-08,944351.2015258039,0,944351.2015258039
2026-01-09,944351.2015258039,0,944351.2015258039
2026-01-12,944351.2015258039,0,944351.2015258039
2026-01-13,944351.2015258039,0,944351.2015258039
2026-01-14,944351.2015258039,0,944351.2015258039
2026-01-16,944351.2015258039,0,944351.2015258039
2026-01-19,944351.2015258039,0,944351.2015258039
2026-01-20,944351.2015258039,0,944351.2015258039
2026-01-21,944351.2015258039,0,944351.2015258039
2026-01-22,944351.2015258039,0,944351.2015258039
2026-01-23,944351.2015258039,0,944351.2015258039
2026-01-27,944351.2015258039,0,944351.2015258039
2026-01-28,944351.2015258039,0,944351.2015258039
2026-01-29,944351.2015258039,0,944351.2015258039
2026-01-30,944351.2015258039,0,944351.2015258039
2026-02-01,944351.2015258039,0,944351.2015258039
2026-02-02,944351.2015258039,0,944351.2015258039
2026-02-03,944351.2015258039,0,944351.2015258039
2026-02-04,944351.2015258039,0,944351.2015258039
2026-02-05,944351.2015258039,0,944351.2015258039
2026-02-06,944351.2015258039,0,944351.2015258039
2026-02-09,944351.2015258039,0,944351.2015258039
2026-02-10,944351.2015258039,0,944351.2015258039
2026-02-11,944351.2015258039,0,944351.2015258039
2026-02-12,952729.7594250338,2,455265.6594250339
2026-02-13,935332.6666721202,0,935332.6666721202
2026-02-16,935332.6666721202,0,935332.6666721202
2026-02-17,935332.6666721202,0,935332.6666721202
2026-02-18,937741.4712584952,1,655456.4712584952
2026-02-19,933559.4712584952,1,655456.4712584952
2026-02-20,935957.9712584952,1,655456.4712584952
2026-02-23,939729.9712584952,1,655456.4712584952
2026-02-24,939914.4712584952,1,655456.4712584952
2026-02-25,943016.0119214462,1,698894.0119214462
2026-02-26,941711.0119214462,1,698894.0119214462
2026-02-27,939692.6119214462,1,698894.0119214462
2026-03-02,937280.3618900612,0,937280.3618900612
2026-03-04,937280.3618900612,0,937280.3618900612
2026-03-05,937280.3618900612,0,937280.3618900612
2026-03-06,937280.3618900612,0,937280.3618900612
2026-03-09,937280.3618900612,0,937280.3618900612
2026-03-10,937280.3618900612,0,937280.3618900612
2026-03-11,937280.3618900612,0,937280.3618900612
2026-03-12,937280.3618900612,0,937280.3618900612
2026-03-13,937280.3618900612,0,937280.3618900612
2026-03-16,937280.3618900612,0,937280.3618900612
2026-03-17,937280.3618900612,0,937280.3618900612
2026-03-18,937280.3618900612,0,937280.3618900612
2026-03-19,937280.3618900612,0,937280.3618900612
2026-03-20,937280.3618900612,0,937280.3618900612
2026-03-23,937280.3618900612,0,937280.3618900612
2026-03-24,937280.3618900612,0,937280.3618900612
2026-03-25,937280.3618900612,0,937280.3618900612
2026-03-27,937280.3618900612,0,937280.3618900612
2026-03-30,937280.3618900612,0,937280.3618900612
2026-04-01,937280.3618900612,0,937280.3618900612
2026-04-02,937280.3618900612,0,937280.3618900612
2026-04-06,937280.3618900612,0,937280.3618900612
