date,equity,positions,cash
2026-02-19,571306.8715298526,6,129083.32152985263
2026-02-20,578535.0569941676,5,132893.22699416763
2026-02-23,579774.4869941677,5,132893.22699416763
2026-02-24,583298.8169941676,5,132893.22699416763
2026-02-25,594485.5249539621,5,153628.36495396204
2026-02-26,597004.5249539621,5,153628.36495396204
2026-02-27,592094.374953962,5,153628.36495396204
2026-03-02,590766.1956666871,4,253745.95566668705
2026-03-04,577107.6705961591,1,502297.8705961591
2026-03-05,578261.370596159,1,502297.8705961591
2026-03-06,577204.9705961591,1,502297.8705961591
2026-03-09,577434.3205961591,1,502297.8705961591
2026-03-10,577538.5705961591,1,502297.8705961591
2026-03-11,578191.870596159,1,502297.8705961591
2026-03-12,577545.520596159,1,502297.8705961591
2026-03-13,576783.0598834029,0,576783.0598834029
2026-03-16,576783.0598834029,0,576783.0598834029
2026-03-17,576783.0598834029,0,576783.0598834029
2026-03-18,576783.0598834029,0,576783.0598834029
2026-03-19,576783.0598834029,0,576783.0598834029
2026-03-20,576783.0598834029,0,576783.0598834029
2026-03-23,576783.0598834029,0,576783.0598834029
2026-03-24,576783.0598834029,0,576783.0598834029
2026-03-25,576783.0598834029,0,576783.0598834029
2026-03-27,576783.0598834029,0,576783.0598834029
2026-03-30,576783.0598834029,0,576783.0598834029
2026-04-01,576783.0598834029,0,576783.0598834029
2026-04-02,576783.0598834029,0,576783.0598834029
2026-04-06,576783.0598834029,0,576783.0598834029
2026-04-07,576783.0598834029,0,576783.0598834029
2026-04-08,576783.0598834029,0,576783.0598834029
2026-04-09,576783.0598834029,0,576783.0598834029
2026-04-10,575854.6727346417,4,176033.53273464163
2026-04-13,574086.171090598,3,259028.42109059793
2026-04-15,582284.7982528822,7,9125.508252882195
2026-04-16,591147.6927581945,7,22550.132758194486
2026-04-17,597139.3005282446,8,6297.350528244488
2026-04-20,597038.9706034242,8,1544.8106034241791
2026-04-21,601928.630603424,8,1544.8106034241791
2026-04-22,605936.8129329359,8,4331.342932935935
2026-04-23,607985.2353670443,8,4177.265367044438
2026-04-24,604412.6737939664,8,4033.573793966454
2026-04-27,611988.5237939665,8,4033.573793966454
2026-04-28,614119.9657979542,8,14965.265797954311
2026-04-29,613162.394195262,8,48835.324195262074
2026-04-30,605962.8669964471,8,45234.266996447084
2026-05-04,602424.4649810009,8,61933.21498100087
2026-05-05,606211.7549810008,8,61933.21498100087
2026-05-06,607059.4609463859,8,73453.98094638587
2026-05-07,612697.4603708384,8,48338.30037083838
2026-05-08,612014.9203708384,8,48338.30037083838
2026-05-11,610024.9108229598,7,49751.01082295994
2026-05-12,598989.8486453762,8,-16.501354623811494
2026-05-13,606095.6720188707,8,8311.17201887074
